# This file contains the data of initial population
# of objectives = 2, # of constraints = 0, # of real_var = 0, # of bits of bin_var = 0, constr_violation, rank, crowding_distance
2.830000e+02	3.470000e+02	-2.000000e+00	7	1.000000e+14
2.380000e+02	3.410000e+02	0.000000e+00	1	1.714756e-01
2.450000e+02	3.830000e+02	-2.000000e+00	7	1.789660e-01
2.630000e+02	3.270000e+02	0.000000e+00	2	2.410256e-01
2.830000e+02	3.060000e+02	0.000000e+00	2	2.252362e-01
2.230000e+02	4.130000e+02	-1.100000e+01	16	1.000000e+14
2.350000e+02	4.100000e+02	-7.000000e+00	12	1.000000e+14
1.590000e+02	4.880000e+02	-4.300000e+01	29	1.000000e+14
2.000000e+02	4.340000e+02	-1.500000e+01	18	1.000000e+14
2.430000e+02	3.690000e+02	-6.000000e+00	11	1.000000e+14
2.010000e+02	4.070000e+02	-9.000000e+00	14	1.000000e+14
1.890000e+02	4.930000e+02	-4.600000e+01	30	1.000000e+14
2.690000e+02	3.160000e+02	0.000000e+00	2	2.387314e-01
1.910000e+02	4.680000e+02	-2.300000e+01	24	1.000000e+14
2.000000e+02	4.420000e+02	-2.200000e+01	23	1.000000e+14
2.120000e+02	4.320000e+02	-1.000000e+01	15	5.000000e-01
2.290000e+02	4.250000e+02	-1.000000e+01	15	5.000000e-01
2.690000e+02	3.200000e+02	0.000000e+00	3	1.000000e+14
1.900000e+02	4.320000e+02	-1.100000e+01	16	1.000000e+14
1.860000e+02	4.170000e+02	-1.000000e+00	6	1.000000e+14
2.210000e+02	4.140000e+02	-1.000000e+00	6	1.797169e-01
2.600000e+02	3.780000e+02	0.000000e+00	5	1.000000e+14
2.410000e+02	3.290000e+02	-1.000000e+00	6	2.162085e-01
1.760000e+02	4.530000e+02	-2.100000e+01	22	1.000000e+14
2.320000e+02	3.710000e+02	-2.000000e+00	7	1.946531e-01
2.560000e+02	3.690000e+02	-1.000000e+00	6	1.332433e-01
2.280000e+02	4.160000e+02	-3.000000e+00	8	1.000000e+14
2.320000e+02	3.660000e+02	-4.000000e+00	9	1.000000e+14
2.280000e+02	3.760000e+02	-4.000000e+00	9	1.000000e+00
2.290000e+02	3.830000e+02	-2.000000e+00	7	7.942996e-02
2.130000e+02	3.950000e+02	0.000000e+00	2	1.000000e+14
2.410000e+02	3.860000e+02	-1.000000e+00	6	1.361070e-01
2.320000e+02	4.150000e+02	-6.000000e+00	11	3.750000e-01
2.550000e+02	3.640000e+02	-2.000000e+00	7	2.801591e-01
2.130000e+02	3.660000e+02	0.000000e+00	1	2.728383e-01
2.610000e+02	3.020000e+02	0.000000e+00	1	3.417293e-01
2.210000e+02	3.930000e+02	-2.000000e+00	7	1.000000e+14
1.810000e+02	4.450000e+02	-2.000000e+01	21	1.000000e+14
1.870000e+02	4.330000e+02	-8.000000e+00	13	5.208333e-01
2.280000e+02	4.260000e+02	-9.000000e+00	14	1.000000e+14
2.710000e+02	3.480000e+02	-1.000000e+00	6	1.078792e-01
2.180000e+02	4.620000e+02	-2.900000e+01	26	1.000000e+14
2.270000e+02	3.680000e+02	-1.000000e+00	6	1.431844e-01
2.000000e+02	4.680000e+02	-2.000000e+01	21	1.000000e+14
2.400000e+02	3.620000e+02	0.000000e+00	3	1.000000e+14
2.470000e+02	3.350000e+02	0.000000e+00	2	2.673414e-01
1.950000e+02	4.510000e+02	-1.500000e+01	18	1.000000e+14
2.670000e+02	3.290000e+02	0.000000e+00	3	4.527915e-01
1.970000e+02	4.120000e+02	-1.000000e+01	15	1.000000e+14
2.120000e+02	4.440000e+02	-2.300000e+01	24	1.000000e+14
2.830000e+02	3.460000e+02	-1.000000e+00	6	7.539683e-02
2.230000e+02	3.730000e+02	-1.000000e+00	6	7.854688e-02
1.980000e+02	4.800000e+02	-4.000000e+01	27	1.000000e+14
2.040000e+02	4.200000e+02	-8.000000e+00	13	1.000000e+14
2.320000e+02	4.000000e+02	-3.000000e+00	8	3.122698e-01
2.350000e+02	3.560000e+02	0.000000e+00	2	3.836032e-01
1.670000e+02	5.120000e+02	-5.200000e+01	33	1.000000e+14
2.120000e+02	3.810000e+02	-1.000000e+00	6	2.319997e-01
2.410000e+02	3.770000e+02	0.000000e+00	4	1.000000e+14
2.720000e+02	3.270000e+02	0.000000e+00	4	1.000000e+14
2.860000e+02	3.290000e+02	0.000000e+00	5	1.000000e+14
2.180000e+02	4.390000e+02	-1.100000e+01	16	5.000000e-01
2.550000e+02	3.840000e+02	-3.000000e+00	8	5.796666e-01
1.800000e+02	4.890000e+02	-4.200000e+01	28	1.000000e+14
2.600000e+02	3.450000e+02	0.000000e+00	3	7.352217e-01
2.710000e+02	2.810000e+02	0.000000e+00	1	1.000000e+14
1.930000e+02	4.240000e+02	-8.000000e+00	13	5.246212e-01
2.010000e+02	4.300000e+02	-8.000000e+00	13	4.479167e-01
2.190000e+02	4.380000e+02	-5.000000e+00	10	1.000000e+14
2.420000e+02	3.590000e+02	-3.000000e+00	8	2.865865e-01
2.350000e+02	4.130000e+02	-6.000000e+00	11	3.349185e-01
2.430000e+02	3.940000e+02	-2.000000e+00	7	2.494476e-01
2.400000e+02	3.550000e+02	-1.000000e+00	6	1.515300e-01
2.120000e+02	3.920000e+02	0.000000e+00	1	3.179511e-01
1.770000e+02	4.990000e+02	-4.900000e+01	32	1.000000e+14
1.710000e+02	4.360000e+02	-8.000000e+00	13	1.000000e+14
2.220000e+02	3.950000e+02	-4.000000e+00	9	1.000000e+14
2.340000e+02	3.560000e+02	0.000000e+00	1	2.502350e-01
2.010000e+02	4.660000e+02	-2.600000e+01	25	1.000000e+14
2.090000e+02	4.160000e+02	-1.600000e+01	19	1.000000e+14
2.400000e+02	3.550000e+02	0.000000e+00	2	6.477733e-02
2.150000e+02	4.300000e+02	-1.200000e+01	17	1.000000e+14
2.370000e+02	4.200000e+02	-2.000000e+00	7	8.870968e-02
2.200000e+02	4.330000e+02	-7.000000e+00	12	1.000000e+14
2.950000e+02	3.390000e+02	-3.000000e+00	8	1.000000e+14
2.910000e+02	3.000000e+02	0.000000e+00	2	1.000000e+14
2.230000e+02	3.840000e+02	-2.000000e+00	7	1.330093e-01
2.390000e+02	3.910000e+02	-5.000000e+00	10	1.000000e+14
1.740000e+02	4.920000e+02	-4.700000e+01	31	1.000000e+14
2.690000e+02	2.910000e+02	-1.000000e+00	6	1.000000e+14
2.670000e+02	3.560000e+02	-2.000000e+00	7	3.422448e-01
2.110000e+02	4.000000e+02	-6.000000e+00	11	1.000000e+14
2.530000e+02	3.590000e+02	-3.000000e+00	8	2.593526e-01
2.630000e+02	3.110000e+02	-1.000000e+00	6	2.178040e-01
2.410000e+02	3.510000e+02	0.000000e+00	2	1.501350e-01
2.470000e+02	3.320000e+02	0.000000e+00	1	2.903665e-01
1.910000e+02	4.140000e+02	0.000000e+00	1	1.000000e+14
2.090000e+02	4.610000e+02	-2.300000e+01	24	1.000000e+00
1.690000e+02	4.490000e+02	-1.900000e+01	20	1.000000e+14
2.430000e+02	3.560000e+02	0.000000e+00	3	5.472085e-01
