# This file contains the data of initial population
# of objectives = 2, # of constraints = 0, # of real_var = 0, # of bits of bin_var = 0, constr_violation, rank, crowding_distance
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	1.000000e+14
1.055556e+00	9.500000e+00	0.000000e+00	7	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	1.900000e+01	-1.000000e+00	11	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	6.333333e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	3.333333e-01
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.055556e+00	4.750000e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	4.750000e+00	0.000000e+00	5	1.875000e-01
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	6.333333e+00	0.000000e+00	6	5.972222e-01
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	2.714286e+00	0.000000e+00	1	3.564815e-01
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	3.800000e+00	0.000000e+00	3	1.000000e+14
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	3.800000e+00	0.000000e+00	4	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.117647e+00	4.750000e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.117647e+00	9.500000e+00	0.000000e+00	8	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	1.900000e+01	-1.000000e+00	11	0.000000e+00
1.055556e+00	9.500000e+00	0.000000e+00	7	0.000000e+00
1.055556e+00	9.500000e+00	-1.000000e+00	11	0.000000e+00
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.461538e+00	3.166667e+00	-1.000000e+00	11	1.000000e+14
1.055556e+00	6.333333e+00	0.000000e+00	6	2.361111e-01
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	9.500000e+00	0.000000e+00	6	2.361111e-01
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	6.333333e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	3.166667e+00	0.000000e+00	2	5.000000e-01
1.055556e+00	4.750000e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	3.166667e+00	0.000000e+00	2	1.000000e+14
1.055556e+00	inf	0.000000e+00	9	-nan
1.055556e+00	9.500000e+00	0.000000e+00	7	0.000000e+00
1.000000e+00	3.800000e+00	0.000000e+00	3	5.000000e-01
1.055556e+00	4.750000e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	9.500000e+00	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.117647e+00	4.750000e+00	0.000000e+00	6	2.638889e-01
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.055556e+00	3.800000e+00	0.000000e+00	4	5.000000e-01
1.000000e+00	6.333333e+00	-2.000000e+00	12	1.000000e+14
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.117647e+00	1.900000e+01	0.000000e+00	9	2.647059e-01
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	inf	-1.000000e+00	11	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	9.500000e+00	0.000000e+00	7	3.750000e-01
1.000000e+00	4.750000e+00	0.000000e+00	4	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	4.750000e+00	0.000000e+00	4	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.187500e+00	1.900000e+01	0.000000e+00	10	1.000000e+14
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.117647e+00	4.750000e+00	0.000000e+00	6	1.000000e+14
1.055556e+00	6.333333e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	6.333333e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.055556e+00	3.800000e+00	0.000000e+00	4	5.000000e-01
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	inf	-1.000000e+00	11	-nan
1.055556e+00	9.500000e+00	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	1.900000e+01	0.000000e+00	8	2.638889e-01
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	6.333333e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	9.500000e+00	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.055556e+00	6.333333e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	4.750000e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.117647e+00	9.500000e+00	0.000000e+00	8	2.638889e-01
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	-1.000000e+00	11	0.000000e+00
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	4.750000e+00	0.000000e+00	4	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	3.166667e+00	0.000000e+00	2	5.000000e-01
1.055556e+00	4.750000e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	6.333333e+00	0.000000e+00	5	2.361111e-01
1.055556e+00	inf	0.000000e+00	9	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	6.333333e+00	0.000000e+00	5	0.000000e+00
1.117647e+00	3.800000e+00	0.000000e+00	5	1.000000e+14
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.117647e+00	4.750000e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	9.500000e+00	0.000000e+00	7	0.000000e+00
1.000000e+00	1.900000e+01	0.000000e+00	7	0.000000e+00
1.000000e+00	inf	-1.000000e+00	11	-nan
1.055556e+00	1.900000e+01	-1.000000e+00	11	-nan
1.000000e+00	9.500000e+00	0.000000e+00	6	0.000000e+00
1.055556e+00	1.900000e+01	0.000000e+00	8	0.000000e+00
1.000000e+00	inf	0.000000e+00	8	-nan
