"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
120.7767, -690.4925373134329, 269724.9302, 2, 2.6767, pc='0.95', pm='0.5'
121.9137, -693.8676470588235, 272199.0453, 2, 2.7137, pc='0.95', pm='0.5'
122.5362, -693.231884057971, 273282.9755, 2, 2.7362, pc='0.95', pm='0.5'
123.6742, -693.5714285714286, 275522.1124, 2, 2.7742, pc='0.95', pm='0.5'
126.2596, -693.9014084507043, 279616.5744, 2, 2.8596, pc='0.95', pm='0.5'
126.4675, -697.0416666666666, 279616.7443, 2, 2.8675, pc='0.95', pm='0.5'
126.6734, -697.013698630137, 280344.4105, 2, 2.8734, pc='0.95', pm='0.5'
128.9458, -696.3783783783783, 287420.3565, 2, 2.9458, pc='0.95', pm='0.5'
131.0129, -694.9733333333334, 293594.4804, 2, 3.0129, pc='0.95', pm='0.5'
133.0830, -695.1052631578947, 296631.4455, 2, 3.0830, pc='0.95', pm='0.5'
133.1886, -695.1052631578947, 296631.5228, 6, 3.0886, pc='0.25', pm='0.05'
136.1862, -693.5714285714286, 300382.6252, 6, 3.1862, pc='0.25', pm='0.05'
138.4602, -693.0128205128206, 305848.0266, 6, 3.2602, pc='0.25', pm='0.05'
140.7372, -693.0379746835443, 309447.2617, 6, 3.3372, pc='0.25', pm='0.05'
141.4649, -695.875, 311898.5174, 6, 3.3649, pc='0.25', pm='0.05'
143.2262, -694.4074074074074, 316444.9150, 6, 3.4262, pc='0.25', pm='0.05'
143.9514, -693.1463414634146, 319736.4231, 6, 3.4514, pc='0.25', pm='0.05'
147.4675, -693.433734939759, 325126.0268, 6, 3.5675, pc='0.25', pm='0.05'
150.0543, -693.5714285714286, 328678.9016, 6, 3.6543, pc='0.25', pm='0.05'
150.2622, -693.5882352941177, 328869.7302, 6, 3.6622, pc='0.25', pm='0.05'
150.4708, -693.8604651162791, 329082.5581, 6, 3.6708, pc='0.25', pm='0.05'
151.7136, -693.9885057471264, 333179.3947, 6, 3.7136, pc='0.25', pm='0.05'
155.1263, -692.8181818181819, 340680.6592, 6, 3.8263, pc='0.25', pm='0.05'
157.9265, -692.3370786516854, 347409.5764, 6, 3.9265, pc='0.25', pm='0.05'
