Run 2
0, 100000000, 0, 1, 0, pc='0.95', pm='0.1'
0.1, -705.0, 1, 1, 1000000000.0, pc='0.95', pm='0.1'
0.7999999999999999, -641.0, 2, 1, 1000000000.0, pc='0.95', pm='0.1'
1.9000000000000006, -659.0, 3, 1, 1000000000.0, pc='0.95', pm='0.1'
2.400000000000001, -724.25, 4, 1, 1000000000.0, pc='0.95', pm='0.1'
3.0000000000000013, -697.6, 5, 1, 1000000000.0, pc='0.95', pm='0.1'
3.700000000000002, -700.8333333333334, 6, 1, 1000000000.0, pc='0.95', pm='0.1'
4.5, -693.5714285714286, 7, 1, 1000000000.0, pc='0.95', pm='0.1'
5.299999999999997, -721.875, 8, 1, 1000000000.0, pc='0.95', pm='0.1'
6.199999999999994, -713.8888888888889, 9, 1, 1000000000.0, pc='0.95', pm='0.1'
7.099999999999991, -700.2, 10, 1, 1000000000.0, pc='0.95', pm='0.1'
8.199999999999987, -699.7272727272727, 11, 1, 1000000000.0, pc='0.95', pm='0.1'
9.499999999999982, -700.1666666666666, 12, 1, 1000000000.0, pc='0.95', pm='0.1'
10.899999999999977, -701.4615384615385, 13, 1, 1000000000.0, pc='0.95', pm='0.1'
12.199999999999973, -693.5714285714286, 14, 1, 1000000000.0, pc='0.95', pm='0.1'
13.599999999999968, -693.6666666666666, 15, 1, 1000000000.0, pc='0.95', pm='0.1'
15.199999999999962, -686.375, 16, 1, 1000000000.0, pc='0.95', pm='0.1'
16.99999999999997, -688.1764705882352, 17, 1, 1000000000.0, pc='0.95', pm='0.1'
18.9, -686.0555555555555, 18, 1, 1000000000.0, pc='0.95', pm='0.1'
20.700000000000024, -687.0526315789474, 19, 1, 1000000000.0, pc='0.95', pm='0.1'
22.800000000000054, -682.25, 20, 1, 1000000000.0, pc='0.95', pm='0.1'
22.900000000000055, -682.25, 20, 1, 1000000000.0, pc='0.8', pm='0.05'
25.600000000000094, -693.5714285714286, 21, 2, 1000000000.0, pc='0.8', pm='0.05'
27.300000000000118, -694.6363636363636, 22, 2, 1000000000.0, pc='0.8', pm='0.05'
27.800000000000125, -695.0869565217391, 23, 2, 1000000000.0, pc='0.8', pm='0.05'
29.50000000000015, -690.75, 24, 2, 1000000000.0, pc='0.8', pm='0.05'
31.100000000000172, -689.12, 25, 2, 1000000000.0, pc='0.8', pm='0.05'
32.700000000000195, -698.0, 26, 2, 1000000000.0, pc='0.8', pm='0.05'
32.9000000000002, -697.8888888888889, 27, 2, 1000000000.0, pc='0.8', pm='0.05'
33.1000000000002, -693.5714285714286, 28, 2, 1000000000.0, pc='0.8', pm='0.05'
34.200000000000216, -693.9655172413793, 29, 2, 1000000000.0, pc='0.8', pm='0.05'
37.000000000000256, -694.0, 30, 2, 1000000000.0, pc='0.8', pm='0.05'
40.0000000000003, -694.741935483871, 31, 2, 1000000000.0, pc='0.8', pm='0.05'
41.70000000000032, -691.5, 32, 2, 1000000000.0, pc='0.8', pm='0.05'
43.40000000000035, -698.4242424242424, 33, 2, 1000000000.0, pc='0.8', pm='0.05'
46.20000000000039, -694.8529411764706, 34, 2, 1000000000.0, pc='0.8', pm='0.05'
48.40000000000042, -693.5714285714286, 35, 2, 1000000000.0, pc='0.8', pm='0.05'
51.20000000000046, -693.8888888888889, 36, 2, 1000000000.0, pc='0.8', pm='0.05'
51.30000000000046, -693.8888888888889, 36, 2, 1000000000.0, pc='0.6', pm='0.05'
52.90000000000048, -690.7297297297297, 37, 3, 1000000000.0, pc='0.6', pm='0.05'
53.100000000000485, -689.6578947368421, 38, 3, 1000000000.0, pc='0.6', pm='0.05'
53.30000000000049, -695.5641025641025, 39, 3, 1000000000.0, pc='0.6', pm='0.05'
54.2000000000005, -696.1, 40, 3, 1000000000.0, pc='0.6', pm='0.05'
55.50000000000052, -693.5365853658536, 41, 3, 1000000000.0, pc='0.6', pm='0.05'
57.50000000000055, -693.5714285714286, 42, 3, 1000000000.0, pc='0.6', pm='0.05'
59.80000000000058, -698.8372093023256, 43, 3, 1000000000.0, pc='0.6', pm='0.05'
60.900000000000595, -696.0681818181819, 44, 3, 1000000000.0, pc='0.6', pm='0.05'
63.30000000000063, -693.7333333333333, 45, 3, 1000000000.0, pc='0.6', pm='0.05'
65.60000000000055, -692.7826086956521, 46, 3, 1000000000.0, pc='0.6', pm='0.05'
65.70000000000054, -692.7826086956521, 46, 3, 1000000000.0, pc='0.6', pm='0.1'
66.4000000000005, -693.0425531914893, 47, 4, 1000000000.0, pc='0.6', pm='0.1'
69.60000000000032, -693.0833333333334, 48, 4, 1000000000.0, pc='0.6', pm='0.1'
72.80000000000014, -693.5714285714286, 49, 4, 1000000000.0, pc='0.6', pm='0.1'
73.30000000000011, -692.7, 50, 4, 1000000000.0, pc='0.6', pm='0.1'
74.70000000000003, -693.1764705882352, 51, 4, 1000000000.0, pc='0.6', pm='0.1'
75.89999999999996, -690.9423076923077, 52, 4, 1000000000.0, pc='0.6', pm='0.1'
78.29999999999983, -689.0566037735849, 53, 4, 1000000000.0, pc='0.6', pm='0.1'
82.1999999999996, -689.1666666666666, 54, 4, 1000000000.0, pc='0.6', pm='0.1'
85.8999999999994, -693.3636363636364, 55, 4, 1000000000.0, pc='0.6', pm='0.1'
88.29999999999926, -693.5714285714286, 56, 4, 1000000000.0, pc='0.6', pm='0.1'
90.59999999999913, -693.9824561403509, 57, 4, 1000000000.0, pc='0.6', pm='0.1'
92.09999999999904, -697.8793103448276, 58, 4, 1000000000.0, pc='0.6', pm='0.1'
93.89999999999894, -697.8305084745763, 59, 4, 1000000000.0, pc='0.6', pm='0.1'
94.09999999999893, -697.0333333333333, 60, 4, 1000000000.0, pc='0.6', pm='0.1'
94.29999999999892, -695.0655737704918, 61, 4, 1000000000.0, pc='0.6', pm='0.1'
97.79999999999872, -693.3870967741935, 62, 4, 1000000000.0, pc='0.6', pm='0.1'
100.19999999999858, -693.5714285714286, 63, 4, 1000000000.0, pc='0.6', pm='0.1'
103.4999999999984, -693.59375, 64, 4, 1000000000.0, pc='0.6', pm='0.1'
103.59999999999839, -693.59375, 64, 4, 1000000000.0, pc='0.95', pm='0.5'
110.99999999999797, -692.0153846153846, 65, 5, 1000000000.0, pc='0.95', pm='0.5'
115.89999999999769, -692.2121212121212, 66, 5, 1000000000.0, pc='0.95', pm='0.5'
118.09999999999756, -690.4925373134329, 67, 5, 1000000000.0, pc='0.95', pm='0.5'
119.1999999999975, -693.8676470588235, 68, 5, 1000000000.0, pc='0.95', pm='0.5'
119.79999999999747, -693.231884057971, 69, 5, 1000000000.0, pc='0.95', pm='0.5'
120.8999999999974, -693.5714285714286, 70, 5, 1000000000.0, pc='0.95', pm='0.5'
123.39999999999726, -693.9014084507043, 71, 5, 1000000000.0, pc='0.95', pm='0.5'
123.59999999999725, -697.0416666666666, 72, 5, 1000000000.0, pc='0.95', pm='0.5'
123.79999999999724, -697.013698630137, 73, 5, 1000000000.0, pc='0.95', pm='0.5'
125.99999999999712, -696.3783783783783, 74, 5, 1000000000.0, pc='0.95', pm='0.5'
127.999999999997, -694.9733333333334, 75, 5, 1000000000.0, pc='0.95', pm='0.5'
129.9999999999969, -695.1052631578947, 76, 5, 1000000000.0, pc='0.95', pm='0.5'
130.0999999999969, -695.1052631578947, 76, 5, 1000000000.0, pc='0.25', pm='0.05'
132.99999999999673, -693.5714285714286, 77, 6, 1000000000.0, pc='0.25', pm='0.05'
135.1999999999966, -693.0128205128206, 78, 6, 1000000000.0, pc='0.25', pm='0.05'
137.39999999999648, -693.0379746835443, 79, 6, 1000000000.0, pc='0.25', pm='0.05'
138.09999999999644, -695.875, 80, 6, 1000000000.0, pc='0.25', pm='0.05'
139.79999999999634, -694.4074074074074, 81, 6, 1000000000.0, pc='0.25', pm='0.05'
140.4999999999963, -693.1463414634146, 82, 6, 1000000000.0, pc='0.25', pm='0.05'
143.8999999999961, -693.433734939759, 83, 6, 1000000000.0, pc='0.25', pm='0.05'
146.39999999999597, -693.5714285714286, 84, 6, 1000000000.0, pc='0.25', pm='0.05'
146.59999999999596, -693.5882352941177, 85, 6, 1000000000.0, pc='0.25', pm='0.05'
146.79999999999595, -693.8604651162791, 86, 6, 1000000000.0, pc='0.25', pm='0.05'
147.99999999999588, -693.9885057471264, 87, 6, 1000000000.0, pc='0.25', pm='0.05'
151.2999999999957, -692.8181818181819, 88, 6, 1000000000.0, pc='0.25', pm='0.05'
153.99999999999554, -692.3370786516854, 89, 6, 1000000000.0, pc='0.25', pm='0.05'
